product_name,product_description,category_name,category_description,price,customer_name,rating,review_text
iPhone 15 Pro,Latest Apple smartphone with A17 chip,Electronics,Electronic devices and gadgets,999.99,John Doe,5,Amazing phone! Camera quality is superb.
iPhone 15 Pro,Latest Apple smartphone with A17 chip,Electronics,Electronic devices and gadgets,999.99,Jane Smith,4,Great phone but a bit expensive.
Samsung Galaxy S24,Flagship Android phone with AI features,Electronics,Electronic devices and gadgets,899.99,Mike Johnson,5,Best Samsung phone ever!
MacBook Pro,Powerful laptop for professionals,Electronics,Electronic devices and gadgets,1999.99,Sarah Wilson,5,Perfect for my work.
Sony Headphones,Premium noise-cancelling headphones,Electronics,Electronic devices and gadgets,299.99,Tom Brown,4,Great sound quality.
Nike Running Shoes,Comfortable sports shoes for daily running,Sports,Sports equipment and accessories,89.99,Emily Davis,5,Very comfortable for long runs!
Nike Running Shoes,Comfortable sports shoes for daily running,Sports,Sports equipment and accessories,89.99,Chris Lee,4,Good running shoes.
Adidas T-Shirt,Breathable sports t-shirt,Sports,Sports equipment and accessories,29.99,Robert Green,4,Nice quality t-shirt.
Yoga Mat,Non-slip exercise mat,Sports,Sports equipment and accessories,29.99,Lisa Black,5,Perfect yoga mat!
Dumbbells Set,Adjustable dumbbells for home workout,Sports,Sports equipment and accessories,149.99,Anna Taylor,5,Excellent dumbbells!
Levi Jeans,Classic denim jeans with perfect fit,Clothing,Fashion and apparel items,59.99,Mark Anderson,4,Good quality jeans.
Levi Jeans,Classic denim jeans with perfect fit,Clothing,Fashion and apparel items,59.99,Jennifer Moore,5,Perfect fit!
Winter Jacket,Warm winter jacket,Clothing,Fashion and apparel items,129.99,Paul Martinez,4,Very warm and comfortable.
Cotton T-Shirt,Comfortable cotton t-shirt,Clothing,Fashion and apparel items,19.99,Maria Garcia,3,Decent quality.
The Great Gatsby,Classic American novel,Books,Books and literature,12.99,Kevin Rodriguez,5,Timeless classic!
The Great Gatsby,Classic American novel,Books,Books and literature,12.99,Laura Hernandez,5,One of the best novels.
Atomic Habits,Self-help book about building good habits,Books,Books and literature,16.99,James Lopez,5,Life-changing book!
Atomic Habits,Self-help book about building good habits,Books,Books and literature,16.99,Susan Hill,4,Great insights.
Python Programming,Comprehensive Python guide,Books,Books and literature,39.99,Richard Scott,5,Best programming book!
Blender Pro,High-speed kitchen blender,Home & Kitchen,Home appliances and kitchen items,149.99,Patricia Young,4,Works great for smoothies.
Blender Pro,High-speed kitchen blender,Home & Kitchen,Home appliances and kitchen items,149.99,Daniel King,5,Powerful blender!
Air Fryer,Healthy cooking with hot air,Home & Kitchen,Home appliances and kitchen items,89.99,Linda Wright,5,Love this air fryer!
Coffee Maker,Automatic coffee maker,Home & Kitchen,Home appliances and kitchen items,79.99,Joseph Turner,4,Good coffee maker.
Toaster,4-slice toaster,Home & Kitchen,Home appliances and kitchen items,49.99,Barbara Adams,4,Works well.
